_id,Naziv,Adresa,Kontakt_telefon,Kontakt_mail,Voditelj,radno_vrijeme[0].dani,radno_vrijeme[1].dani,radno_vrijeme[0].sati,radno_vrijeme[1].sati,Nudi_wifi,Nudi_računalo,Nudi_tople_napitke
671ccddbeb9699770222ac6e,Gradska knjižnica,Starčevićev trg 6,+385 1 4572 084,gradska.knjiznica@kgz.hr,Ismena Meić,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,da
671ccddbeb9699770222ac6f,Knjižnica Božidara Adžije,Trg kralja Petra Krešimira IV. 2,+385 1 4655 025,knjiznica.bozidara.adzije@kgz.hr,Ivan Jelić,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,da
671ccddbeb9699770222ac70,Knjižnica Tina Ujevića,Ulica grada Vukovara 14,+385 1 3095 221,knjiznica.tina.ujevica@kgz.hr,Lucija Hodžajev,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,ne
671ccddbeb9699770222ac71,Knjižnica Knežija,Albaharijeva 7,+385 1 3837 246,knjiznica.knezija@kgz.hr,Dražena Šola Vrbanek,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,ne,ne
671ccddbeb9699770222ac72,Knjižnica Ljubljanica,Ljubljanica 24,+385 1 3640 987,knjiznica.ljubljanica@kgz.hr,Marija Popović,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,ne,da,ne
671ccddbeb9699770222ac73,Knjižnica Prečko,Slavenskoga 12,+385 1 3879 084,knjiznica.precko@kgz.hr,Stjepana Skender,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,ne
671ccddbeb9699770222ac74,Knjižnica Staglišće,A. Prosenika 7,+385 1 3664 268,knjiznica.staglisce@kgz.hr,Aleksandra Franković,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,ne
671ccddbeb9699770222ac75,Knjižnica Voltino,Dragutina Golika 36,+385 1 3665 668,knjiznica.voltino@kgz.hr,Ana Bakarić,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,ne
671ccddbeb9699770222ac76,Knjižnica Marije Jurić Zagorke,Krvavi most 2,+385 1 4813 993,knjiznica.m.j.zagorke@kgz.hr,Maja Pranić,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,ne
671ccddbeb9699770222ac77,Knjižnica i čitaonica Bogdana Ogrizovića,Preradovićeva 5,+385 1 4810 704,knjiznica.bogdana.ogrizovica@kgz.hr,dr. sc. Jasna Kovačević,pon-pet,subota,8:00 - 20:00,8:00 - 14:00,da,da,ne
